PlayerID,TeamName,PlayerName,PlayerRole,PlayerSalary
430,"Dindigul Dragons","M Abhinav",Bowler,0.0
430,"Dindigul Dragons","M Abhinav",Bowler,0.0
417,"Dindigul Dragons","M Anbu",Bowler,0.0
417,"Dindigul Dragons","M Anbu",Bowler,0.0
496,"TUTI Patriots","M Ganesh Moorthi",Bowler,0.0
894,Gloucestershire,"M Klinger",Batsman,0.0
426,"Dindigul Dragons","M Mohammed",Bowler,0.0
426,"Dindigul Dragons","M Mohammed",Bowler,0.0
530,"Ruby Trichy Warriors","M Poiyamozhi",Batsman,0.0
789,"Lyca Kovai Kings","M Prasanth Rajesh",AllRounder,0.0
786,"Lyca Kovai Kings","M Raja",Bowler,0.0
512,"TUTI Patriots","M Sathya Raj",Bowler,0.0
419,"Dindigul Dragons","M Silambarasan",Bowler,0.0
419,"Dindigul Dragons","M Silambarasan",Bowler,0.0
521,"Ruby Trichy Warriors","Maaruthi Raghav",AllRounder,0.0
677,"Surrey Stars","Mady Villiers",AllRounder,0.0
677,"Surrey Stars","Mady Villiers",AllRounder,0.0
485,"Southern Vipers","Maia Bouchier",Batsman,0.0
485,"Southern Vipers","Maia Bouchier",Batsman,0.0
787,"Lyca Kovai Kings","Malolan Rangarajan",AllRounder,0.0
579,India,"Manish Pandey",Batsman,0.0
579,India,"Manish Pandey",Batsman,0.0
817,"Toronto Nationals","Manpreet Gony",Bowler,0.0
720,Glamorgan,"Marchant de Lange",Bowler,0.0
909,Kent,"Marcus O'Riordan",AllRounder,0.0
479,"Southern Vipers","Marie Kelly",Batsman,0.0
479,"Southern Vipers","Marie Kelly",Batsman,0.0
684,"Surrey Stars","Marizanne Kapp",AllRounder,0.0
684,"Surrey Stars","Marizanne Kapp",AllRounder,0.0
822,"Toronto Nationals","Mark Montfort",Bowler,0.0
876,Durham,"Mark Wood",Bowler,0.0
713,Glamorgan,"Marnus Labuschagne",AllRounder,0.0
850,Northamptonshire,"Matt Coles",Bowler,0.0
912,Kent,"Matt Milnes",Bowler,0.0
879,Durham,"Matt Salisbury",Bowler,0.0
797,"Montreal Tigers","Matthew Cross",WicketKeeper,0.0
881,Gloucestershire,"Matthew David Taylor",Bowler,0.0
751,"Vancouver Knights","Matthew Nandu",Batsman,0.0
852,Durham,"Matthew Potts",Bowler,0.0
446,Netherlands,"Max O'Dowd",Bowler,0.0
446,Netherlands,"Max O'Dowd",Bowler,0.0
446,Netherlands,"Max O'Dowd",Bowler,0.0
588,India,"Mayank Agarwal",Batsman,0.0
588,India,"Mayank Agarwal",Batsman,0.0
427,"Dindigul Dragons","MEY Arun Mozhi",Bowler,0.0
427,"Dindigul Dragons","MEY Arun Mozhi",Bowler,0.0
719,Glamorgan,"Michael Hogan",Bowler,0.0
747,"Vancouver Knights","Michael Rippon",Bowler,0.0
603,"Loughborough Lightning","Mignon du Preez",Batsman,0.0
603,"Loughborough Lightning","Mignon du Preez",Batsman,0.0
900,Gloucestershire,"Miles Hammond",Batsman,0.0
918,Kent,"Mitchell Claydon",Bowler,0.0
818,"Toronto Nationals","Mitchell McClenaghan",Bowler,0.0
463,"United Arab Emirates","Mohammad Boota",Batsman,0.0
463,"United Arab Emirates","Mohammad Boota",Batsman,0.0
463,"United Arab Emirates","Mohammad Boota",Batsman,0.0
646,"Edmonton Royals","Mohammad Hafeez",AllRounder,0.0
770,"Winnipeg Hawks","Mohammad Irfan",Bowler,0.0
914,Kent,"Mohammad Nabi",AllRounder,0.0
461,"United Arab Emirates","Mohammad Naveed",AllRounder,0.0
461,"United Arab Emirates","Mohammad Naveed",AllRounder,0.0
461,"United Arab Emirates","Mohammad Naveed",AllRounder,0.0
461,"Montreal Tigers","Mohammad Naveed",AllRounder,0.0
650,"Edmonton Royals","Mohammad Nawaz",AllRounder,0.0
574,India,"Mohammed Shami",Bowler,0.0
574,India,"Mohammed Shami",Bowler,0.0
828,"Toronto Nationals","Moises Henriques",AllRounder,0.0
537,"Ruby Trichy Warriors","MS Sanjay",AllRounder,0.0
452,"United Arab Emirates","Muhammad Usman",Batsman,0.0
452,"United Arab Emirates","Muhammad Usman",Batsman,0.0
452,"United Arab Emirates","Muhammad Usman",Batsman,0.0
793,"Lyca Kovai Kings","Muhammed Adnan Khan",Bowler,0.0
528,"Ruby Trichy Warriors","Murali Vijay",Batsman,0.0
506,"TUTI Patriots","Murugesan Kamlesh",WicketKeeper,0.0
784,"Lyca Kovai Kings","N Mohammed Ashik",WicketKeeper,0.0
774,"Winnipeg Hawks","N Zadran",Batsman,0.0
587,India,"NA Saini",Bowler,0.0
587,India,"NA Saini",Bowler,0.0
617,"Western Storm","Naomi Dattani",AllRounder,0.0
421,"Dindigul Dragons","Narayan Jagadeesan",WicketKeeper,0.0
421,"Dindigul Dragons","Narayan Jagadeesan",WicketKeeper,0.0
478,"Lancashire Thunder","Natalie Brown",Bowler,0.0
478,"Lancashire Thunder","Natalie Brown",Bowler,0.0
683,"Surrey Stars","Natalie Sciver",AllRounder,0.0
683,"Surrey Stars","Natalie Sciver",AllRounder,0.0
848,Northamptonshire,"Nathan Buck",Bowler,0.0
872,Durham,"Nathan Rimmington",Bowler,0.0
654,"Edmonton Royals","Navneet Dhaliwal",AllRounder,0.0
869,Durham,"Ned Eckersley",WicketKeeper,0.0
632,"Brampton Wolves","Newab Singh",Batsman,0.0
534,"Ruby Trichy Warriors","Neyan Kangayan",Batsman,0.0
548,"West Indies","Nicholas Pooran",WicketKeeper,0.0
548,"West Indies","Nicholas Pooran",WicketKeeper,0.0
718,Glamorgan,"Nicholas Selman",Batsman,0.0
505,"TUTI Patriots","Nidhish Rajagopal",AllRounder,0.0
